invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5pct,sales,date,time,payment,cogs,gross_margin_percentage,gross_income,rating,year,month,day,weekday,sales_velocity,avg_transaction_value,profit_margin_pct,high_value_txn
750-67-8428,ALEX,Yangon,Member,Female,Health And Beauty,74.69,7,26.1415,548.9715,01-05-2019,13:08:00,Ewallet,522.83,4.761904762,26.1415,9.1,2019,5,1,Wednesday,78.4245,548.9715,4.761904762,Yes
226-31-3081,GIZA,Naypyitaw,Normal,Female,Electronic Accessories,15.28,5,3.82,80.22,03-08-2019,10:29:00,Cash,76.4,4.761904762,3.82,9.6,2019,8,3,Saturday,16.044,80.22,4.761904762,No
631-41-3108,ALEX,Yangon,Normal,Female,Home And Lifestyle,46.33,7,16.2155,340.5255,03-03-2019,13:23:00,Credit Card,324.31,4.761904762,16.2155,7.4,2019,3,3,Sunday,48.6465,340.5255,4.761904762,Yes
123-19-1176,ALEX,Yangon,Member,Female,Health And Beauty,58.22,8,23.288,489.048,27-01-2019,20:33:00,Ewallet,465.76,4.761904762,23.288,8.4,2019,1,27,Sunday,61.131,489.048,4.761904762,Yes
373-73-7910,ALEX,Yangon,Member,Female,Sports And Travel,86.31,7,30.2085,634.3785,02-08-2019,10:37:00,Ewallet,604.17,4.761904762,30.2085,5.3,2019,8,2,Friday,90.6255,634.3785,4.761904762,Yes
699-14-3026,GIZA,Naypyitaw,Member,Female,Electronic Accessories,85.39,7,29.8865,627.6165,25-03-2019,18:30:00,Ewallet,597.73,4.761904762,29.8865,4.1,2019,3,25,Monday,89.6595,627.6165,4.761904762,Yes
355-53-5943,ALEX,Yangon,Member,Female,Electronic Accessories,68.84,6,20.652,433.692,25-02-2019,14:36:00,Ewallet,413.04,4.761904762,20.652,5.8,2019,2,25,Monday,72.282,433.692,4.761904762,Yes
315-22-5665,GIZA,Naypyitaw,Member,Female,Home And Lifestyle,73.56,10,36.78,772.38,24-02-2019,11:38:00,Ewallet,735.6,4.761904762,36.78,8,2019,2,24,Sunday,77.238,772.38,4.761904762,Yes
665-32-9167,ALEX,Yangon,Member,Female,Health And Beauty,36.26,2,3.626,76.146,01-10-2019,17:15:00,Credit Card,72.52,4.761904762,3.626,7.2,2019,10,1,Tuesday,38.073,76.146,4.761904762,No
692-92-5582,CAIRO,Mandalay,Member,Female,Food And Beverages,54.84,3,8.226,172.746,20-02-2019,13:27:00,Credit Card,164.52,4.761904762,8.226,5.9,2019,2,20,Wednesday,57.582,172.746,4.761904762,No
351-62-0822,CAIRO,Mandalay,Member,Female,Fashion Accessories,14.48,4,2.896,60.816,02-06-2019,18:07:00,Ewallet,57.92,4.761904762,2.896,4.5,2019,6,2,Sunday,15.204,60.816,4.761904762,No
529-56-3974,CAIRO,Mandalay,Member,Female,Electronic Accessories,25.51,4,5.102,107.142,03-09-2019,17:03:00,Cash,102.04,4.761904762,5.102,6.8,2019,9,3,Tuesday,26.7855,107.142,4.761904762,No
365-64-0515,ALEX,Yangon,Member,Female,Electronic Accessories,46.95,5,11.7375,246.4875,02-12-2019,10:25:00,Ewallet,234.75,4.761904762,11.7375,7.1,2019,12,2,Monday,49.2975,246.4875,4.761904762,No
252-56-2699,ALEX,Yangon,Member,Female,Food And Beverages,43.19,10,21.595,453.495,02-07-2019,16:48:00,Ewallet,431.9,4.761904762,21.595,8.2,2019,7,2,Tuesday,45.3495,453.495,4.761904762,Yes
829-34-3910,ALEX,Yangon,Member,Female,Health And Beauty,71.38,10,35.69,749.49,29-03-2019,19:21:00,Cash,713.8,4.761904762,35.69,5.7,2019,3,29,Friday,74.949,749.49,4.761904762,Yes
299-46-1805,CAIRO,Mandalay,Member,Female,Sports And Travel,93.72,6,28.116,590.436,15-01-2019,16:19:00,Cash,562.32,4.761904762,28.116,4.5,2019,1,15,Tuesday,98.406,590.436,4.761904762,Yes
656-95-9349,ALEX,Yangon,Member,Female,Health And Beauty,68.93,7,24.1255,506.6355,03-11-2019,11:03:00,Credit Card,482.51,4.761904762,24.1255,4.6,2019,11,3,Sunday,72.3765,506.6355,4.761904762,Yes
765-26-6951,ALEX,Yangon,Member,Female,Sports And Travel,72.61,6,21.783,457.443,01-01-2019,10:39:00,Credit Card,435.66,4.761904762,21.783,6.9,2019,1,1,Tuesday,76.2405,457.443,4.761904762,Yes
329-62-1586,ALEX,Yangon,Member,Female,Food And Beverages,54.67,3,8.2005,172.2105,21-01-2019,18:00:00,Credit Card,164.01,4.761904762,8.2005,8.6,2019,1,21,Monday,57.4035,172.2105,4.761904762,No
319-50-3348,CAIRO,Mandalay,Member,Female,Home And Lifestyle,40.3,2,4.03,84.63,03-11-2019,15:30:00,Ewallet,80.6,4.761904762,4.03,4.4,2019,11,3,Sunday,42.315,84.63,4.761904762,No
300-71-4605,GIZA,Naypyitaw,Member,Female,Electronic Accessories,86.04,5,21.51,451.71,25-02-2019,11:24:00,Ewallet,430.2,4.761904762,21.51,4.8,2019,2,25,Monday,90.342,451.71,4.761904762,Yes
371-85-5789,CAIRO,Mandalay,Member,Female,Health And Beauty,87.98,3,13.197,277.137,03-05-2019,10:40:00,Ewallet,263.94,4.761904762,13.197,5.1,2019,5,3,Friday,92.379,277.137,4.761904762,No
